Vmag,Plx,e_Plx,B-V,Amag,target
9.23,8.71,1.52,0.592,18.93009,1
9.07,0.3,0.95,1.018,11.455606,0
5.29,27.04,0.9,0.366,17.450035,1
8.32,4.18,1.09,1.36,16.42588,0
10.16,27.28,2.4,1.225,22.339222,1
8.14,0.96,0.96,1.119,13.051356,0
7.28,13.24,0.69,0.445,17.88944,1
7.37,3.69,0.77,1.12,15.205132,0
8.68,3.65,1.44,0.333,16.491465,1
7.33,16.91,0.53,0.464,18.470718,1
8.52,2.2,1.15,0.045,15.232114,0
8.47,2.72,0.93,1.083,15.642845,0
9.66,6.48,1.32,0.83,18.717875,1
7.66,2.5,1.04,1.115,14.6497,0
9.21,38.92,1.38,1.16,22.160864,1
8.53,10.76,1.14,0.54,18.68906,1
7.67,3.94,0.83,1.054,15.647481,0
8.31,5.84,0.63,0.301,17.142065,0
8.4,0.03,0.95,-0.124,5.785606,0
6.29,4.44,0.85,-0.029,14.526915,1
8.2,1.27,1.07,1.407,13.719019,0
6.52,7.66,0.85,1.01,15.941143,0
7.04,3.86,0.7,1.28,14.972937,0
5.91,9.98,0.53,0.107,15.905652,1
7.11,7.99,0.78,0.397,16.622734,1
7.97,4.08,1.08,1.053,16.0233,0
8.09,2.73,1.13,1.012,15.270814,0
8.64,1.25,1.07,1.019,14.12455,0
7.9,2.12,0.77,-0.093,14.531679,1
8.59,3.27,0.77,1.086,16.162739,1
10.24,-1.87,5.78,0.264,16.599209,1
10.31,1.21,1.56,0.47,15.7239275,1
9.06,2.21,0.95,1.255,15.781961,0
5.53,24.5,0.58,0.296,17.47583,0
5.03,20.98,0.68,0.02,16.639029,1
6.12,9.36,0.58,0.977,15.976378,0
6.62,4.02,0.71,1.491,14.64113,0
6.25,36.97,0.8,0.548,19.089249,1
6.83,7.84,1.09,0.1,16.30158,1
9.31,4.45,1.35,1.322,17.5518,0
7.17,0.87,0.91,1.028,11.867596,0
6.74,1.67,1.03,0.921,12.853582,0
8.59,5.9,0.76,0.185,17.44426,1
6.68,4.61,1.01,1.2,14.998505,0
7.75,3.61,0.66,-0.062,15.537537,1
9.46,6.91,1.47,0.657,18.65739,1
9.93,6.32,1.17,0.471,18.933586,1
6.52,7.66,1.04,0.068,15.941143,1
9.67,13.05,1.67,0.633,20.248053,1
9.35,4.78,1.38,0.463,17.747139,1
8.6,1.24,1.07,1.082,14.067109,0
7.11,5.68,0.58,1.066,15.8817425,0
9.37,5.67,1.32,0.47,18.137917,1
8.9,3.07,1.35,0.928,16.335691,1
9.31,10.39,1.27,0.582,19.393078,1
8.16,4.04,0.65,0.33,16.191906,1
7.61,9.74,0.96,0.934,17.552795,0
9.14,1.88,1.28,1.245,15.51079,0
6.33,167.56,1.06,1.144,22.450851,1
8.92,2.13,1.35,0.993,15.561898,0
8.32,10.11,0.95,0.427,18.343756,1
6.98,2.34,0.68,1.659,13.826079,0
9.09,6.02,1.0,0.571,17.987984,1
7.19,4.21,0.57,-0.027,15.311411,1
7.88,6.32,0.96,0.151,16.883587,1
7.25,3.36,0.66,1.027,14.881697,0
6.51,5.06,0.67,1.372,15.030752,0
7.58,7.98,1.29,0.145,17.090015,1
8.7,11.93,1.12,0.774,19.083202,1
8.25,6.27,1.18,0.374,17.236338,1
9.26,-1.51,1.24,1.221,15.154885,0
8.75,4.79,0.82,0.886,17.151678,1
7.32,0.7,0.78,1.406,11.54549,0
9.02,5.48,1.36,0.552,17.713903,1
7.08,7.87,0.9,-0.043,16.559874,1
4.35,17.85,0.48,0.021,15.608191,1
9.5,6.64,1.37,0.496,18.61084,1
6.16,9.92,1.02,0.03,16.14256,1
6.67,8.02,0.98,0.136,16.190872,1
6.1,2.7,0.67,1.637,13.256819,0
7.14,3.2,0.6,1.614,14.66575,0
6.61,5.97,0.62,1.093,15.489872,0
7.33,4.03,0.84,1.399,15.356525,0
8.6,5.75,0.74,0.109,17.39834,1
7.2,7.64,0.99,0.41,16.615467,1
8.3,3.66,1.2,1.147,16.117405,0
8.44,13.74,1.16,0.55,19.129932,1
6.01,8.56,1.17,0.203,15.672369,1
8.77,1.03,1.14,1.007,13.834187,0
9.18,6.85,0.89,0.912,18.358452,0
9.42,3.87,0.93,0.459,17.358555,1
7.56,7.7,1.05,0.241,16.992453,1
8.16,12.28,1.1,0.633,18.605991,1
8.8,2.58,1.45,0.901,15.858099,1
9.3,1.99,1.25,0.308,15.794266,0
5.77,6.19,0.89,1.178,14.728453,0
7.94,0.67,0.96,0.286,12.070374,0
7.86,3.33,0.95,0.053,15.472221,1
7.34,16.6,1.08,0.626,18.44054,1
6.27,9.41,0.89,1.089,16.137949,0
9.18,-0.43,1.49,1.169,12.3473425,0
8.59,3.07,0.76,0.995,16.025692,0
5.98,6.98,0.82,0.867,15.199276,0
8.82,14.94,1.55,0.68,19.691753,0
8.06,5.15,1.24,1.454,16.619038,0
8.81,6.45,1.15,0.225,17.8578,1
8.78,2.4,0.75,0.102,15.681056,1
6.29,6.8,0.58,-0.076,15.452544,1
7.71,5.37,0.9,0.299,16.35987,0
8.66,2.49,1.25,1.708,15.640997,0
8.62,1.05,1.26,0.681,13.725946,0
2.97,7.82,1.02,-0.148,12.436034,0
8.71,2.92,0.86,1.077,16.036915,0
8.93,5.82,0.93,0.42,17.754616,1
8.99,3.52,1.3,0.417,16.722713,1
6.09,19.79,1.01,0.32,17.57223,0
8.34,11.75,1.08,0.473,18.69019,1
8.91,0.52,1.27,0.47,12.490017,1
6.3,1.08,0.51,-0.126,11.467119,0
6.94,9.55,1.1,1.02,16.840017,0
5.59,6.34,0.72,-0.099,14.600447,1
5.74,2.62,0.51,1.554,12.831507,0
7.31,2.15,0.93,1.332,13.972193,0
8.35,6.82,0.97,0.35,17.51892,1
3.9,11.83,0.8,1.313,14.264923,0
8.77,9.48,1.67,0.528,18.654041,1
6.5,6.38,0.7,0.979,15.524104,0
6.42,-0.6,0.82,2.282,10.310757,0
7.73,3.86,0.7,1.04,15.662937,1
7.37,6.11,0.66,1.246,16.300205,0
9.23,4.16,1.31,1.08,17.325466,0
8.44,2.5,1.23,1.508,15.4297,0
8.03,13.76,0.93,0.443,18.723091,1
7.89,2.44,1.13,0.864,14.82695,0
9.08,7.68,1.2,0.405,18.506805,1
7.82,2.29,0.62,1.044,14.619178,0
9.3,7.19,0.78,0.667,18.583645,1
8.04,3.19,1.01,0.233,15.558954,0
7.65,5.82,0.93,0.285,16.474615,1
6.88,22.39,0.87,0.448,18.63027,1
8.97,3.66,0.75,0.879,16.787407,0
7.23,9.43,0.8,0.27,17.102558,1
7.42,3.7,0.89,1.132,15.261009,0
8.38,8.47,0.79,0.891,18.019417,1
8.51,18.24,1.38,0.661,19.815125,1
6.52,1.21,0.86,1.72,11.933928,0
9.05,9.53,1.33,0.633,18.945465,1
7.28,2.29,0.83,-0.097,14.079178,0
7.62,0.24,0.7,-0.088,9.521056,0
7.93,14.15,1.45,0.775,18.683783,1
7.41,2.26,0.59,1.268,14.180542,0
7.92,2.21,0.95,1.216,14.641962,0
6.36,6.13,0.77,1.384,15.297302,0
8.66,2.3,0.72,-0.001,15.468639,1
7.4,3.38,0.85,0.337,15.044584,1
6.67,10.93,0.52,0.34,16.863102,0
7.55,0.16,0.6,-0.048,8.5706005,1
10.0,-0.03,1.64,0.925,7.3856063,1
8.65,3.43,1.52,1.487,16.32647,0
8.47,3.36,1.42,0.154,16.101696,0
6.76,4.56,0.79,1.519,15.054825,0
9.07,3.17,0.97,1.032,16.575296,0
8.75,2.49,0.83,1.252,15.730997,0
7.13,4.68,0.57,0.96,15.48123,0
7.61,2.3,1.03,1.353,14.418639,0
5.9,3.46,0.88,1.579,13.595381,0
6.28,9.41,0.88,0.114,16.14795,1
9.09,1.06,1.46,1.584,14.21653,0
6.33,17.15,0.78,0.461,17.50132,1
9.86,5.72,1.59,0.601,18.64698,1
7.99,5.54,0.92,1.04,16.707548,1
8.57,5.79,0.88,0.033,17.383392,1
4.91,2.86,0.95,0.374,12.19183,0
7.16,17.67,0.53,0.545,18.396183,1
10.29,1.03,2.0,0.364,15.354186,0
8.29,6.79,0.79,0.129,17.449348,1
8.32,1.37,1.0,0.068,14.003603,0
7.81,2.43,1.03,1.253,14.738031,0
9.79,8.24,1.52,0.562,19.369637,1
7.81,0.22,0.92,1.696,9.522114,0
9.77,8.7,1.31,0.8,19.467596,1
9.18,3.36,1.15,0.461,16.811697,1
9.32,6.97,1.29,0.475,18.536163,1
9.34,2.1,0.87,1.256,15.951097,0
9.37,2.16,1.34,1.562,16.042269,0
8.97,1.88,1.33,0.112,15.34079,1
8.65,3.63,1.13,1.058,16.449533,0
8.06,2.06,0.96,1.243,14.629336,0
8.28,11.75,0.89,0.501,18.630188,1
5.91,22.85,1.13,0.425,17.704432,0
7.84,1.21,0.93,1.523,13.253927,0
7.99,4.42,0.81,0.039,16.21711,1
8.81,2.67,0.84,1.549,15.942556,0
8.97,4.39,0.78,0.962,17.182323,0
8.18,2.28,1.3,1.234,14.969675,0
7.02,2.31,0.71,0.951,13.83806,0
8.29,2.81,0.64,-0.029,15.533532,0
7.67,4.38,1.26,1.014,15.877371,0
7.6,12.09,1.67,0.97,18.01213,1
8.14,3.06,1.21,1.227,15.568607,0
7.2,5.41,0.52,-0.04,15.865986,1
8.54,15.72,0.96,0.594,19.522263,0
6.48,20.67,1.21,0.391,18.056702,1
6.46,5.69,0.55,0.979,15.235561,0
8.54,2.83,1.5,1.462,15.798932,0
7.8,0.15,0.9,1.634,8.680457,0
8.0,4.78,0.91,1.107,16.39714,0
7.92,10.53,1.88,0.8,18.032143,1
6.75,1.76,0.92,0.221,12.977564,0
7.58,4.93,1.13,1.549,16.044235,0
8.5,7.8,0.88,0.56,17.960472,1
8.31,-0.19,1.2,-0.032,9.703768,0
9.51,0.79,1.2,0.295,13.998136,0
8.25,3.26,1.13,1.236,15.816089,0
6.57,3.92,0.91,0.01,14.53643,1
8.1,0.02,0.76,0.663,4.60515,1
7.68,6.54,1.14,0.939,16.757889,1
5.09,17.07,0.69,0.022,16.251167,1
7.13,1.38,1.34,0.28,12.829395,0
8.98,0.78,1.4,1.6,13.440473,0
4.92,0.85,0.81,1.905,9.567095,0
8.87,2.27,0.79,0.0,15.650129,1
8.66,-1.71,1.36,2.29,14.82498,0
8.09,280.27,1.05,1.56,25.327883,1
7.65,7.67,0.9,0.13,17.073977,1
7.91,12.7,0.82,0.532,18.429018,1
7.9,2.78,0.9,-0.056,15.120224,1
8.77,1.98,1.1,0.006,15.253326,1
7.68,1.33,0.65,1.12,13.299258,0
8.99,26.81,0.75,0.876,21.131485,1
5.57,8.99,0.6,-0.072,15.3387985,1
7.41,3.13,0.87,0.939,14.887722,0
9.05,4.84,1.29,0.332,17.474228,1
7.41,4.73,0.6,1.064,15.784306,0
8.25,-0.56,1.07,0.486,11.99094,0
7.78,1.75,0.88,1.516,13.995191,0
7.24,9.81,0.93,0.381,17.198345,1
8.1,8.35,0.99,0.387,17.708431,1
8.12,9.13,1.1,0.475,17.922354,1
7.06,6.56,1.47,0.106,16.14452,1
8.69,3.0,0.83,1.321,16.075605,0
8.48,2.85,1.9,1.507,15.754224,0
11.28,46.25,2.12,1.356,24.605558,1
8.09,3.72,0.98,1.4,15.942715,0
8.07,7.44,0.74,0.528,17.427864,1
9.79,-1.99,1.73,1.645,16.284266,0
8.74,2.79,0.97,0.066,15.968021,1
7.32,1.87,0.61,-0.059,13.679209,1
5.33,14.1,0.51,1.066,16.076096,0
10.07,5.45,1.7,0.69,18.751984,1
8.19,14.61,0.89,0.527,19.01325,1
7.89,2.37,1.04,1.722,14.7637415,0
7.59,2.07,0.94,1.328,14.169851,0
8.31,-0.12,0.83,0.0,8.705907,0
9.22,22.55,1.3,0.766,20.985733,1
9.36,8.2,1.48,0.724,18.92907,1
8.22,3.02,1.17,-0.031,15.620035,1
7.2,4.44,0.87,1.125,15.436914,0
9.12,3.3,1.27,1.004,16.71257,0
6.86,1.5,0.65,1.551,12.740456,0
8.43,12.75,1.01,0.548,18.957552,1
9.85,8.99,1.6,0.631,19.6188,1
6.35,4.03,0.87,1.253,14.376526,0
10.1,2.09,2.11,0.84,16.700733,0
8.98,3.37,1.74,0.557,16.618149,1
8.94,5.42,1.13,0.394,17.609997,1
8.73,4.12,1.23,1.15,16.804485,0
9.72,8.85,1.53,0.647,19.454716,1
7.12,3.42,0.68,1.412,14.790131,0
8.55,1.08,1.19,0.93,13.717119,0
6.37,5.03,0.51,0.949,14.87784,0
7.0,2.22,0.85,0.974,13.731766,0
8.36,-0.1,0.97,1.743,8.36,0
7.22,15.72,0.97,0.455,18.202263,1
9.49,6.03,1.54,0.589,18.391586,1
7.67,4.4,0.96,1.044,15.887263,0
8.78,2.21,0.84,-0.066,15.501961,1
7.99,6.78,0.8,0.198,17.146149,1
10.23,-2.37,1.69,0.833,17.10374,0
9.4,1.51,1.01,0.047,15.294885,1
6.59,1.59,0.91,-0.028,12.596986,1
7.22,3.24,0.63,1.612,14.772724,0
7.3,-1.04,0.9,0.826,12.385167,0
6.85,2.69,0.52,0.126,13.998762,1
7.56,5.74,0.92,1.039,16.354559,0
5.14,11.9,0.95,1.023,15.517735,0
8.71,4.27,1.12,0.118,16.86214,1
8.25,10.07,1.06,0.944,18.265146,0
4.45,16.69,0.89,0.21,15.562282,1
7.99,2.28,0.78,0.039,14.779675,0
8.15,7.76,1.2,1.272,17.599308,0
7.26,4.49,0.93,1.2,15.521232,0
7.97,9.73,0.97,0.591,17.910564,1
9.54,0.89,1.82,0.607,14.28695,1
8.46,7.09,0.73,0.605,17.71323,1
8.54,5.98,1.23,0.617,17.423506,1
7.75,9.8,0.67,0.471,17.706131,1
8.39,3.11,0.96,1.567,15.853803,0
8.77,3.55,1.24,1.226,16.521141,0
6.3,3.83,1.0,1.467,14.215994,0
7.09,4.39,0.98,1.652,15.302322,0
7.07,3.54,0.64,1.148,14.815016,0
9.09,3.49,1.73,0.343,16.804127,1
8.34,9.19,0.75,0.424,18.156578,1
7.1,1.86,0.59,1.273,13.447565,0
8.14,3.38,1.05,1.238,15.784584,0
6.94,3.53,0.63,1.61,14.678874,0
8.41,13.02,1.01,0.53,18.983055,1
8.83,1.99,0.86,0.009,15.3242655,1
5.4,11.33,0.84,0.993,15.67115,1
8.28,1.97,1.82,1.201,14.752331,0
8.4,2.65,0.81,1.189,15.51623,0
1.5,7.57,0.57,-0.211,10.895479,0
5.21,7.76,0.74,1.23,14.659308,0
7.76,2.71,0.7,-0.107,14.924847,0
8.0,5.83,0.68,0.266,16.828342,1
7.25,5.02,0.84,1.164,15.753519,0
7.96,3.75,1.18,1.011,15.830156,0
8.78,7.42,1.26,0.444,18.132019,1
8.99,26.37,3.69,1.088,21.09555,1
8.1,16.62,0.76,0.646,19.203156,1
9.19,-0.67,1.17,1.293,13.320374,0
7.73,0.74,0.71,0.025,12.076159,0
8.04,3.37,0.71,1.002,15.678149,0
7.33,2.47,0.77,1.64,14.293485,0
6.77,1.76,0.84,1.288,12.997564,0
8.4,5.68,1.13,1.069,17.171741,0
5.32,6.98,0.95,1.092,14.539276,0
8.27,3.87,0.73,1.537,16.208555,0
8.39,2.34,0.81,1.18,15.23608,0
8.89,13.09,1.2,0.636,19.474697,1
9.17,2.22,1.32,0.119,15.901766,0
8.08,3.29,0.92,1.473,15.665979,0
5.85,14.74,0.51,0.073,16.692488,1
7.98,0.59,1.11,1.477,11.83426,0
9.2,2.7,1.32,0.969,16.35682,1
8.35,3.07,0.95,-0.072,15.785692,1
7.83,5.18,1.0,1.207,16.40165,0
6.71,3.62,0.85,1.488,14.503543,0
8.03,1.38,1.0,1.312,13.729395,0
9.46,10.88,1.32,0.505,19.643145,1
5.66,4.21,1.0,1.401,13.78141,0
7.91,3.47,0.98,0.132,15.611647,1
7.28,6.42,1.26,1.249,16.317675,0
8.65,3.72,1.25,1.204,16.502714,1
7.28,7.12,0.71,0.025,16.5424,1
9.79,0.72,1.39,1.204,14.076662,0
9.11,2.02,1.82,1.015,15.636757,0
8.62,2.94,1.29,0.431,15.961737,0
7.49,1.22,0.62,-0.131,12.921799,1
9.87,1.45,2.16,0.19,15.67684,1
6.26,7.83,0.5,0.243,15.728809,0
8.5,3.55,0.84,1.066,16.25114,0
9.46,1.56,1.34,0.093,15.425623,1
9.14,0.65,1.08,1.064,13.204567,1
6.54,1.34,0.74,1.68,12.175524,0
8.13,9.56,0.84,0.436,18.03229,1
8.36,2.58,1.06,0.322,15.418098,1
7.83,5.54,0.99,1.071,16.547548,0
6.38,20.01,0.88,0.306,17.886234,1
8.66,2.02,1.08,1.476,15.186756,0
9.32,3.42,1.34,0.514,16.990131,1
8.7,5.19,2.54,0.394,17.275837,1
5.66,1.79,0.68,0.595,11.924265,0
7.2,1.54,0.59,1.619,13.137604,0
9.17,-0.2,1.47,1.131,10.67515,0
7.57,8.67,0.84,0.528,17.260096,1
8.49,2.56,0.79,-0.07,15.531199,1
9.28,1.77,1.44,1.17,15.519866,0
9.79,7.24,1.8,0.602,19.088692,1
7.73,-0.22,0.91,1.564,9.442114,0
9.73,-1.67,1.86,0.13,15.843582,1
7.03,11.29,0.7,0.235,17.29347,1
7.14,0.72,0.95,-0.056,11.426662,1
4.13,18.71,0.74,0.943,15.490369,0
3.38,44.55,0.9,0.114,16.624237,1
9.51,1.19,1.05,0.578,14.887735,0
5.7,16.89,5.08,0.144,16.838148,1
9.29,0.62,1.05,1.416,13.251959,0
8.62,3.86,0.92,1.066,16.552937,0
9.3,7.32,1.91,0.478,18.622555,1
6.13,8.32,0.52,1.062,15.730617,0
8.34,3.99,1.05,0.34,16.344864,1
8.82,2.42,1.13,1.134,15.739077,0
4.69,1.76,0.72,1.562,10.917564,0
6.21,10.92,0.94,-0.042,16.401115,1
7.23,3.73,0.97,1.357,15.088545,0
5.23,15.43,0.97,0.374,16.17183,0
7.06,3.0,0.8,1.598,14.445606,0
8.03,5.76,0.96,0.078,16.832111,1
8.79,3.32,1.25,1.04,16.39569,0
7.59,12.57,0.61,0.496,18.086676,1
7.71,4.65,0.88,0.136,16.047264,1
6.35,4.34,0.83,-0.117,14.537449,1
8.23,2.38,0.96,0.097,15.1128845,1
9.72,-1.95,3.24,0.456,16.170174,1
7.11,4.2,0.89,-0.079,15.226246,1
8.53,2.54,0.86,1.046,15.554169,0
8.09,3.68,2.1,0.094,15.919239,1
6.98,19.85,0.85,0.534,18.468801,1
8.89,2.33,1.01,1.213,15.72678,0
8.09,9.1,1.01,0.589,17.885208,1
6.7,3.34,0.84,1.685,14.318732,0
8.71,4.12,1.02,0.116,16.784485,1
8.29,22.39,0.98,0.64,20.04027,1
6.97,8.71,0.81,0.543,16.67009,1
8.15,2.86,1.13,0.37,15.431829,0
8.48,-0.01,1.98,0.049,3.4799995,0
8.2,2.51,1.02,1.206,15.198368,0
6.46,3.18,0.53,1.573,13.972136,0
7.61,2.2,0.85,-0.109,14.322113,1
8.21,9.7,1.08,0.473,18.14386,0
7.3,2.86,0.95,0.073,14.581831,1
8.83,0.87,2.78,0.19,13.5275955,1
8.38,3.71,0.74,1.013,16.22687,0
6.84,6.19,0.9,1.027,15.798453,0
8.41,8.94,0.8,0.464,18.166687,1
7.75,2.33,1.08,1.319,14.58678,0
8.33,14.3,1.17,0.942,19.10668,0
9.33,1.63,1.52,1.12,15.390938,0
5.15,8.76,0.64,1.471,14.86252,0
8.44,4.02,1.09,1.058,16.46113,0
9.31,6.17,2.73,0.675,18.261425,1
8.07,4.17,0.94,0.099,16.170681,1
8.66,8.93,0.73,0.663,18.414257,1
5.85,4.31,0.75,-0.124,14.022387,0
7.89,3.27,1.01,1.066,15.462739,0
9.5,8.84,0.86,0.522,19.232262,1
8.93,1.89,1.49,1.27,15.312309,0
9.29,2.06,1.06,0.911,15.859336,0
8.38,9.97,1.38,0.46,18.373476,1
8.27,0.23,2.61,1.363,10.07864,0
6.97,33.75,0.82,0.563,19.611368,1
8.54,0.65,1.14,1.021,12.604567,0
7.13,12.79,0.93,0.521,17.664352,1
8.22,3.43,1.51,0.382,15.896471,1
9.19,1.71,1.72,0.033,15.35498,1
7.86,4.16,0.81,1.282,15.955467,0
9.06,0.81,1.26,1.593,13.602426,0
8.09,5.06,0.66,1.109,16.610752,0
8.71,1.04,1.2,1.356,13.795167,0
8.23,-1.36,1.0,1.559,13.897695,0
8.25,1.86,0.73,1.026,14.597565,0
5.89,12.59,0.51,1.088,16.390127,0
6.3,2.39,0.5,-0.05,13.19199,0
7.43,3.57,1.01,1.259,15.19334,0
5.99,10.81,0.94,1.221,16.15913,0
8.74,13.61,1.16,0.563,19.40929,1
5.34,14.07,0.52,1.039,16.08147,0
7.84,3.82,1.12,1.135,15.750318,0
7.93,5.54,0.63,0.086,16.647549,1
8.26,4.01,1.09,1.194,16.275723,1
6.94,7.26,0.78,0.233,16.244684,0
7.28,1.87,1.02,1.44,13.639208,0
7.0,7.45,0.9,1.122,16.360783,0
6.36,3.75,0.48,-0.086,14.230157,1
3.76,3.14,0.59,0.64,11.244648,0
7.57,3.5,0.81,1.277,15.29034,0
5.67,10.94,0.91,0.012,15.865086,1
7.47,1.43,0.96,1.47,13.246679,0
7.19,3.33,0.53,-0.104,14.802221,1
9.3,12.06,1.58,0.647,19.706738,1
7.54,-0.2,0.84,1.476,9.04515,0
5.42,4.06,0.55,-0.066,13.46263,0
7.18,13.0,0.89,0.439,17.749716,1
7.68,21.84,1.08,0.617,19.376263,1
7.25,8.39,1.17,0.495,16.868809,0
7.38,15.85,0.86,0.508,18.380146,1
9.07,2.48,1.06,0.825,16.042257,0
7.54,4.14,0.97,0.009,15.625002,1
7.14,6.68,0.82,1.03,16.263882,0
7.91,1.21,1.0,0.342,13.323927,1
8.98,4.54,1.15,0.625,17.265278,1
7.65,4.34,1.14,1.258,15.837448,0
7.48,3.62,0.64,1.216,15.273542,0
8.81,0.6,1.29,1.558,12.700757,0
7.93,0.82,0.94,0.967,12.499069,0
7.33,5.35,0.87,1.243,15.971768,0
8.75,12.49,1.21,0.502,19.232811,1
8.9,3.65,0.86,1.053,16.711464,0
8.15,3.4,0.67,0.33,15.807394,1
7.29,5.47,0.91,1.015,15.979937,0
7.74,5.04,0.99,1.114,16.252151,0
8.95,4.9,1.2,0.094,17.40098,1
5.94,10.6,1.05,0.201,16.066528,1
8.33,4.96,0.78,1.147,16.807407,0
8.63,4.09,1.73,1.091,16.688618,0
7.95,3.83,1.0,0.959,15.8659935,0
8.46,4.47,0.74,1.191,16.711536,0
4.51,14.57,0.47,-0.07,15.327298,1
7.11,13.8,0.67,0.473,17.809397,1
8.72,3.58,1.89,1.154,16.489416,0
7.78,1.9,1.1,1.276,14.173769,0
7.53,17.48,0.74,0.482,18.742706,1
5.61,4.98,0.81,1.589,14.096148,0
9.69,1.3,1.46,1.35,15.259716,0
8.12,13.24,0.64,0.502,18.729439,1
8.48,2.36,1.15,1.266,15.344559,0
7.02,6.01,0.8,0.103,15.914373,1
8.05,1.86,0.69,1.229,14.397565,0
4.51,15.34,0.8,0.949,15.439127,0
9.74,4.69,1.58,1.334,18.095863,0
8.36,6.41,1.07,0.121,17.39429,1
7.59,1.32,1.02,-0.035,13.19287,0
8.9,3.52,0.92,1.301,16.632713,0
4.21,0.76,0.89,0.419,8.614068,0
8.59,0.62,0.93,1.275,12.551958,0
5.39,12.85,0.8,0.106,15.934515,1
8.36,2.62,1.06,0.836,15.451507,0
6.28,7.75,0.75,1.027,15.726509,0
7.87,6.85,1.08,0.226,17.048452,1
8.43,2.52,0.72,-0.047,15.437003,1
6.55,10.84,0.92,0.184,16.725147,1
7.23,3.17,0.63,-0.004,14.735296,1
7.73,3.48,0.99,0.979,15.437897,0
8.92,4.7,1.23,0.534,17.28049,1
7.35,1.3,0.53,1.304,12.919716,0
7.52,5.62,0.64,0.842,16.268682,0
5.12,11.79,0.6,0.212,15.477569,1
8.94,3.89,0.82,1.093,16.889748,1
7.84,46.19,0.91,1.024,21.162739,1
7.87,7.81,0.85,1.161,17.333256,0
7.72,3.75,0.91,1.172,15.590157,0
9.8,3.68,1.46,0.455,17.62924,1
8.41,2.53,1.15,1.342,15.425602,0
5.23,9.84,0.76,0.938,15.194975,0
7.83,6.12,0.85,0.218,16.763756,1
8.14,5.88,1.12,0.192,16.986887,1
4.67,173.41,0.46,0.786,20.865372,1
8.19,2.49,1.07,0.287,15.170996,1
9.47,1.62,1.31,1.005,15.517575,0
9.12,2.4,3.95,1.797,16.021057,0
6.25,0.92,0.66,0.249,11.068939,0
9.32,4.93,1.39,0.639,17.784233,1
6.7,2.57,0.62,-0.025,13.749665,0
7.85,1.04,0.77,1.24,12.935167,0
6.13,4.42,0.52,1.489,14.357111,0
7.72,0.67,0.74,0.117,11.850374,0
8.46,1.29,1.04,0.002,14.012949,1
6.3,3.24,0.8,1.173,13.852725,0
8.57,13.45,1.16,0.546,19.213612,1
4.91,14.52,0.89,0.922,15.719833,0
7.93,1.22,0.7,0.156,13.361799,0
8.4,15.3,0.76,0.599,19.323456,1
9.0,8.22,1.35,0.447,18.57436,1
8.36,2.69,0.78,1.044,15.508761,0
8.81,4.6,0.78,0.098,17.12379,1
7.1,0.28,0.77,0.097,9.33579,1
8.8,2.56,1.26,1.552,15.8412,0
7.72,6.24,0.98,0.42,16.695923,0
4.8,9.07,0.74,1.506,14.588037,0
8.97,3.92,1.02,0.398,16.93643,1
8.14,11.19,0.59,0.529,18.384151,1
9.56,1.34,1.37,-0.18,15.195524,1
7.81,1.49,0.96,1.719,13.675932,0
5.37,5.65,0.53,1.282,14.130242,0
6.8,1.73,0.74,1.579,12.990231,0
8.77,9.24,0.73,0.383,18.59836,1
7.18,3.52,0.96,1.616,14.912713,0
8.22,6.0,1.14,1.036,17.110756,0
8.68,0.19,0.93,0.124,10.073769,1
7.7,1.58,0.78,1.318,13.693285,0
5.58,7.25,0.85,0.771,14.88169,1
8.96,5.89,1.34,0.503,17.810577,1
8.25,1.32,0.72,-0.108,13.85287,0
6.12,4.46,0.93,1.447,14.366674,0
8.14,6.78,1.1,1.068,17.29615,0
8.59,4.36,0.72,1.081,16.787434,0
6.54,1.5,0.58,-0.095,12.420456,0
7.38,6.54,1.0,0.105,16.45789,1
8.74,0.3,1.18,-0.115,11.125607,1
8.04,9.24,2.02,0.528,17.868359,1
6.46,31.03,0.56,0.512,18.918907,1
6.43,3.23,0.86,1.595,13.976012,0
8.32,1.43,1.17,1.312,14.09668,0
7.44,10.69,0.86,0.356,17.584888,1
9.26,1.63,1.28,1.068,15.320938,0
6.04,5.06,0.5,-0.057,14.560752,0
6.91,12.89,0.62,0.314,17.461264,1
5.87,8.43,0.73,0.17,15.499137,1
7.76,2.83,0.98,1.484,15.018932,0
6.35,37.46,0.5,0.517,19.21784,1
8.85,10.41,1.18,0.535,18.937254,1
8.81,-0.32,1.45,1.58,11.335751,0
7.31,4.23,1.09,0.4,15.441702,0
9.04,1.65,1.25,0.921,15.12742,0
6.64,11.78,0.8,0.427,16.995726,1
8.9,23.65,1.14,0.877,20.769156,0
9.11,4.39,2.43,1.001,17.322323,0
8.4,3.56,0.95,0.276,16.15725,1
6.74,6.7,0.64,1.054,15.870374,0
8.32,18.8,1.05,0.595,19.69079,1
6.26,9.86,0.48,1.178,16.229385,0
6.95,7.46,0.96,0.323,16.313694,1
8.73,4.71,1.14,0.168,17.095104,1
5.59,16.64,3.12,0.072,16.695766,1
7.81,15.02,0.83,0.607,18.69335,1
8.63,0.31,1.29,1.267,11.086808,1
9.32,12.78,1.38,0.642,19.852654,1
7.31,9.39,0.58,0.175,17.173328,1
9.49,16.32,0.99,0.739,20.5536,1
8.28,12.49,0.73,0.502,18.762812,1
5.18,32.43,1.29,1.13,17.734735,0
8.98,2.92,0.85,1.274,16.306913,0
